bootstrap_id,segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy
32,tip_middle_root_1_3_1,CNN,0.6092572349116852,0.5773809523809523,0.3848039215686274,0.39519230769230773,0.5551212590299277
33,tip_middle_root_1_2_2,SVM,0.6502570817232459,0.5606973347937203,0.5978925184404636,0.5782442748091603,0.6393772937029905
33,tip_middle_root_1_2_2,Random Forest,0.6301536103215917,0.5554660220252484,0.4815595363540569,0.5140529050543221,0.6012970095563388
33,tip_middle_root_1_2_2,CNN,0.5962858876504966,0.5026990553306343,0.6738672286617492,0.5461538461538462,0.6210715453653574
33,tip_middle_root_1_3_1,SVM,0.6789033308849359,0.5982033483054308,0.6038988408851422,0.600445503522586,0.6638459721667092
33,tip_middle_root_1_3_1,Random Forest,0.6789033308849359,0.6215384615384616,0.509799789251844,0.5594202898550725,0.6472274808328186
33,tip_middle_root_1_3_1,CNN,0.5923737744706671,0.4394444444444444,0.42486828240252894,0.3738927738927739,0.5750203480978162
34,tip_middle_root_1_2_2,SVM,0.5976527140493804,0.46665496665496664,0.5311542390194075,0.48055569639507173,0.5898661028375887
34,tip_middle_root_1_2_2,Random Forest,0.6115272965633486,0.4859375,0.48020939734422885,0.4652562779497764,0.5909342181229154
34,tip_middle_root_1_2_2,CNN,0.6432250210693885,0.48735612138123474,0.6036772216547497,0.5373157648039164,0.6016302093889963
34,tip_middle_root_1_3_1,SVM,0.5866029902924743,0.44935791217895604,0.46897344228804905,0.44375519246746054,0.5671321935206182
34,tip_middle_root_1_3_1,Random Forest,0.6201891562880419,0.5087402885682575,0.4636108273748723,0.4588782696177062,0.6010232953481096
34,tip_middle_root_1_3_1,CNN,0.6346880169803664,0.3978086809945217,0.4107507660878447,0.3888042650418888,0.5394306298566063
35,tip_middle_root_1_2_2,SVM,0.578125,0.5306122448979591,0.45675675675675675,0.47560975609756095,0.5654492532399509
