segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_3_1,SVM,舌中,鮮紅,67,67,0.8507462686567164,0.75,0.42857142857142855,0.5454545454545454,0.6954177897574124,51,2,8,6
tip_middle_root_1_3_1,SVM,舌中,暗紅,78,78,0.7051282051282052,0.44,0.55,0.4888888888888889,0.6543103448275862,44,14,9,11
tip_middle_root_1_3_1,SVM,舌中,青紫,80,80,0.7625,0.23529411764705882,0.4,0.2962962962962963,0.6071428571428572,57,13,6,4
tip_middle_root_1_3_1,SVM,舌左邊,淡紅,86,86,0.7209302325581395,0.4482758620689655,0.6190476190476191,0.52,0.6864468864468865,49,16,8,13
tip_middle_root_1_3_1,SVM,舌左邊,淡白,95,95,0.8736842105263158,0.29411764705882354,1.0,0.45454545454545453,0.9333333333333333,78,12,0,5
tip_middle_root_1_3_1,SVM,舌左邊,鮮紅,73,73,0.7945205479452054,0.72,0.6923076923076923,0.7058823529411765,0.7716857610474632,40,7,8,18
tip_middle_root_1_3_1,SVM,舌左邊,暗紅,81,81,0.5679012345679012,0.2727272727272727,0.45,0.33962264150943394,0.5282786885245901,37,24,11,9
tip_middle_root_1_3_1,SVM,舌左邊,青紫,71,71,0.6338028169014085,0.21428571428571427,0.6,0.3157894736842105,0.619672131147541,39,22,4,6
tip_middle_root_1_3_1,SVM,舌右邊,淡紅,83,83,0.7951807228915663,0.5714285714285714,0.6,0.5853658536585366,0.7285714285714285,54,9,8,12
tip_middle_root_1_3_1,SVM,舌右邊,淡白,93,93,0.9032258064516129,0.2727272727272727,0.75,0.4,0.8300561797752809,81,8,1,3
tip_middle_root_1_3_1,SVM,舌右邊,鮮紅,73,73,0.7671232876712328,0.6363636363636364,0.8076923076923077,0.711864406779661,0.7761865793780687,35,12,5,21
tip_middle_root_1_3_1,SVM,舌右邊,暗紅,81,81,0.5432098765432098,0.2777777777777778,0.47619047619047616,0.3508771929824561,0.5214285714285714,34,26,11,10
tip_middle_root_1_3_1,SVM,舌右邊,青紫,71,71,0.6197183098591549,0.21428571428571427,0.5454545454545454,0.3076923076923077,0.5893939393939394,38,22,5,6
tip_middle_root_1_3_1,SVM,舌根,淡紅,78,78,0.7307692307692307,0.45454545454545453,0.5263157894736842,0.4878048780487805,0.6614629794826048,47,12,9,10
tip_middle_root_1_3_1,SVM,舌根,淡白,95,95,0.8947368421052632,0.0,0.0,0.0,0.46195652173913043,85,7,3,0
tip_middle_root_1_3_1,SVM,舌根,鮮紅,63,63,0.8412698412698413,0.5,0.1,0.16666666666666666,0.5405660377358491,52,1,9,1
tip_middle_root_1_3_1,SVM,舌根,暗紅,73,73,0.547945205479452,0.3142857142857143,0.55,0.4,0.5485849056603773,29,24,9,11
tip_middle_root_1_3_1,SVM,舌根,青紫,97,97,0.9175257731958762,0.14285714285714285,0.3333333333333333,0.2,0.6347517730496454,88,6,2,1
tip_middle_root_1_3_1,Random Forest,舌尖,淡紅,77,77,0.7662337662337663,0.5294117647058824,0.47368421052631576,0.5,0.6678765880217785,50,8,10,9
tip_middle_root_1_3_1,Random Forest,舌尖,淡白,94,94,0.9787234042553191,0.0,0.0,0.0,0.5,92,0,2,0
tip_middle_root_1_3_1,Random Forest,舌尖,鮮紅,72,72,0.6944444444444444,0.59375,0.6785714285714286,0.6333333333333333,0.6915584415584416,31,13,9,19
tip_middle_root_1_3_1,Random Forest,舌尖,暗紅,81,81,0.7654320987654321,0.2727272727272727,0.21428571428571427,0.24,0.5474413646055437,59,8,11,3
tip_middle_root_1_3_1,Random Forest,舌尖,青紫,79,79,0.6708860759493671,0.125,0.14285714285714285,0.13333333333333333,0.46373626373626375,51,14,12,2
tip_middle_root_1_3_1,Random Forest,舌中,淡紅,74,74,0.7837837837837838,0.5652173913043478,0.6842105263157895,0.6190476190476191,0.7511961722488039,45,10,6,13
tip_middle_root_1_3_1,Random Forest,舌中,淡白,95,95,0.9263157894736842,0.0,0.0,0.0,0.4782608695652174,88,4,3,0
tip_middle_root_1_3_1,Random Forest,舌中,鮮紅,67,67,0.9402985074626866,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428572,53,0,4,10
tip_middle_root_1_3_1,Random Forest,舌中,暗紅,78,78,0.6666666666666666,0.2857142857142857,0.2,0.23529411764705882,0.5137931034482759,48,10,16,4
tip_middle_root_1_3_1,Random Forest,舌中,青紫,80,80,0.8375,0.2,0.1,0.13333333333333333,0.5214285714285715,66,4,9,1
tip_middle_root_1_3_1,Random Forest,舌左邊,淡紅,86,86,0.7790697674418605,0.5384615384615384,0.6666666666666666,0.5957446808510638,0.7410256410256411,53,12,7,14
tip_middle_root_1_3_1,Random Forest,舌左邊,淡白,95,95,0.9473684210526315,0.0,0.0,0.0,0.5,90,0,5,0
tip_middle_root_1_3_1,Random Forest,舌左邊,鮮紅,73,73,0.7397260273972602,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.703355155482815,39,8,11,15
